Feature,Importance
LOC_TOTAL,0.07144717377514731
HALSTEAD_CONTENT,0.053782050061096015
LOC_EXECUTABLE,0.04759480750622861
NUMBER_OF_LINES,0.03961071720381578
HALSTEAD_VOLUME,0.038020227209931465
NUM_OPERANDS,0.03789828187088533
NUM_UNIQUE_OPERANDS,0.03756180665795923
MAINTENANCE_SEVERITY,0.03751712919815225
LOC_BLANK,0.0341344829787243
HALSTEAD_LENGTH,0.03360446399140657
NUM_OPERATORS,0.03353040995236989
HALSTEAD_EFFORT,0.03352141811774085
HALSTEAD_DIFFICULTY,0.032997443419228265
PERCENT_COMMENTS,0.03289303061994925
HALSTEAD_PROG_TIME,0.03171877243986457
NORMALIZED_CYLOMATIC_COMPLEXITY,0.03064273127200566
LOC_CODE_AND_COMMENT,0.026247449231278256
CYCLOMATIC_DENSITY,0.026093216947950956
DESIGN_DENSITY,0.025504045745834376
LOC_COMMENTS,0.02454651373910848
NODE_COUNT,0.024015038263985974
EDGE_COUNT,0.023216680325765977
NUM_UNIQUE_OPERATORS,0.023011395452105402
HALSTEAD_ERROR_EST,0.02232729433435401
GLOBAL_DATA_COMPLEXITY,0.021455414915632326
HALSTEAD_LEVEL,0.0177497410050134
CALL_PAIRS,0.01723868167602005
PARAMETER_COUNT,0.017171941798578668
GLOBAL_DATA_DENSITY,0.0171621566525539
DESIGN_COMPLEXITY,0.014082123401371015
BRANCH_COUNT,0.012164805111166542
CYCLOMATIC_COMPLEXITY,0.011394502424585264
MULTIPLE_CONDITION_COUNT,0.009952864784435808
CONDITION_COUNT,0.009935673389715878
MODIFIED_CONDITION_COUNT,0.008275958676379569
DECISION_COUNT,0.007895382244095422
ESSENTIAL_COMPLEXITY,0.007579554664486876
ESSENTIAL_DENSITY,0.006504618941076499
